date,zone,hurs,pr,sfcWind,tas
2023-01-01,Zone 4,78.56194929643111,1.2007428267679643e-05,2.192849787798795,275.4806532426314
2023-01-02,Zone 4,85.03372643210672,2.161232898536334e-05,2.609706288034266,275.37629144841975
2023-01-03,Zone 4,85.25155154141513,4.4871973924190655e-05,2.0645663954994897,275.01455133611506
2023-01-04,Zone 4,87.86653345281428,3.438969815761084e-05,2.0354505994103174,276.44780523126775
2023-01-05,Zone 4,87.95770333030008,6.62510423849612e-05,3.152544368397106,278.6534604159269
2023-01-06,Zone 4,82.19893472844905,2.4805521971674434e-05,3.1756709163839165,279.5606301047585
2023-01-07,Zone 4,76.13550463589755,1.950377802793148e-05,3.327052593231201,276.39496127041906
2023-01-08,Zone 4,80.61368838223544,1.423537212924037e-05,1.7886219403960488,274.9367051558061
2023-01-09,Zone 4,83.46452608975497,5.6422340326827744e-05,2.6918033361434937,275.06855912642044
2023-01-10,Zone 4,85.12430052323775,4.26747369188392e-05,3.6142207492481577,275.8671403364702
2023-01-11,Zone 4,84.32233428955078,0.0,3.527214429595254,274.8906236128374
2023-01-12,Zone 4,86.68134481256658,5.756524379566227e-05,1.3859833641485735,273.70917025479406
2023-01-13,Zone 4,86.8638468655673,2.7130400843072327e-05,2.5138714096762915,273.8113250732422
2023-01-14,Zone 4,75.76860029047185,1.2402312925339423e-05,3.986355272206393,274.4897571910511
2023-01-15,Zone 4,76.29755488308993,9.6989411262753e-05,3.973193721337752,275.2674740878019
2023-01-16,Zone 4,72.53680732033469,4.814451536235124e-05,4.682741251858798,273.7549493963068
2023-01-17,Zone 4,78.84456044977361,4.228669155798509e-05,4.333690198985013,272.2141640403054
2023-01-18,Zone 4,82.27618026733398,3.015450701323888e-05,2.5443390011787415,271.97409612482244
2023-01-19,Zone 4,83.49887050281872,5.119070465298137e-05,3.606698204170574,271.9986100630327
2023-01-20,Zone 4,79.21209786155008,4.73221003134809e-05,6.152137452905828,271.82709711248225
2023-01-21,Zone 4,77.13504340431906,1.1223087808916302e-05,6.411174427379262,269.2494395862926
2023-01-22,Zone 4,81.32856091586027,0.0,3.4457417618144643,269.2782370827415
2023-01-23,Zone 4,78.9524137323553,0.0,2.588464308868755,271.73071843927556
2023-01-24,Zone 4,78.98156634244052,0.0,2.79346903887662,274.42964588512075
2023-01-25,Zone 4,87.57786039872603,3.465294365799888e-07,3.2480312152342363,274.356801813299
2023-01-26,Zone 4,89.812781940807,4.663671841792e-05,4.418250289830294,275.055927623402
2023-01-27,Zone 4,86.61891867897727,4.703716992728666e-05,2.8456638076088647,275.1675761829723
2023-01-28,Zone 4,82.76488390835848,1.3895735342182228e-07,3.348851967941631,275.1413934881037
2023-01-29,Zone 4,78.56911329789595,1.2726928286032159e-05,1.7335900501771406,275.60989657315343
2023-01-30,Zone 4,80.97698176990856,2.89276962245243e-05,4.946240696040067,276.17109818892044
2023-01-31,Zone 4,84.73182331431995,0.0,3.929187915541909,274.2121693004261
2023-02-01,Zone 4,85.40910165960139,7.525352636796676e-07,2.4502266320315274,273.41806862571025
2023-02-02,Zone 4,84.74572407115589,1.692414075064748e-06,3.367251006039706,274.446816184304
2023-02-03,Zone 4,80.51840105923739,3.051257821921767e-06,3.4475611556660044,276.08438249067825
2023-02-04,Zone 4,81.28415714610706,5.404461717262166e-06,3.0679715871810913,274.7838828346946
2023-02-05,Zone 4,83.95963217995383,3.5228451782710515e-05,2.8618181943893433,274.9470131613991
2023-02-06,Zone 4,73.60618417913264,2.499737609634229e-06,3.5691498951478438,275.9334439364347
2023-02-07,Zone 4,80.04448422518644,1.8265481147946875e-05,1.934481750835072,276.8505207408558
2023-02-08,Zone 4,86.13499520041726,2.590594849814145e-05,2.141489901325919,277.2294228293679
2023-02-09,Zone 4,83.6686089255593,3.77004177855931e-06,2.3823905533010308,278.13292069868606
2023-02-10,Zone 4,87.7959976196289,0.00010438879338504525,2.155926065011458,279.94509332830256
2023-02-11,Zone 4,78.980825250799,5.213484374425289e-05,5.175899429754778,279.15053766424006
2023-02-12,Zone 4,76.5451379255815,1.0227650405299341e-05,4.314364801753651,275.4785419810902
2023-02-13,Zone 4,71.15824578025125,0.0,2.4296495589342983,275.5902488014915
2023-02-14,Zone 4,82.43971807306463,3.8833135146309026e-05,3.010148758238012,276.2751964222301
2023-02-15,Zone 4,90.64013047651811,0.00012618123847377402,2.852461164647883,278.16062094948506
2023-02-16,Zone 4,83.31058155406605,8.846500323174537e-05,2.4911632375283674,279.77554598721593
2023-02-17,Zone 4,76.81724132191052,1.920206719577519e-05,4.357050678946755,279.0636735395952
2023-02-18,Zone 4,68.01091315529563,9.06281609952037e-06,2.12010581926866,277.7940590598366
2023-02-19,Zone 4,77.68738139759411,1.972912402627778e-05,2.2903086868199436,278.1011962890625
2023-02-20,Zone 4,79.83559348366477,6.34137161134938e-05,4.5056528719988735,276.94073763760656
2023-02-21,Zone 4,76.34237064014782,3.630131580352595e-05,3.643576903776689,276.46426669034093
2023-02-22,Zone 4,77.35666725852273,1.6634121162827466e-05,2.6934023824605076,276.9441486705433
2023-02-23,Zone 4,80.23943571610884,9.152595504763832e-06,3.394011519171975,277.66320384632456
2023-02-24,Zone 4,87.90020405162464,6.510139825298789e-05,3.1917337504300205,277.6729070490057
2023-02-25,Zone 4,91.37140412764116,6.939987807444678e-05,1.902000828222795,279.4655747847124
2023-02-26,Zone 4,83.0232856056907,8.271734755412167e-06,1.6759162057529797,280.71487842906606
2023-02-27,Zone 4,82.04843000932173,1.6753889874301173e-05,1.8141818913546475,281.1580533114347
2023-02-28,Zone 4,88.52513261274858,1.9578463087038305e-05,2.914985017343001,281.7970359108665
2023-03-01,Zone 4,88.88016440651633,0.00019382003334943545,2.6562842509963294,281.612700028853
2023-03-02,Zone 4,82.29436527598988,2.801051281990526e-05,1.881018264727159,282.1033574884588
2023-03-03,Zone 4,83.1896858215332,3.2163383242401653e-06,1.8773341178894043,281.9276553067294
2023-03-04,Zone 4,83.78091465343128,1.5488782165365674e-05,2.4048591635443946,281.9775321266868
2023-03-05,Zone 4,86.51817425814542,3.437481237514558e-05,2.4844142632050947,281.7984813343395
2023-03-06,Zone 4,85.24886668812145,4.0311121582900256e-05,1.5250775380568071,282.5623945756392
2023-03-07,Zone 4,85.53476784446023,1.84161365475368e-05,2.0964125394821167,282.9189050847834
2023-03-08,Zone 4,89.38621798428622,2.351691096629855e-05,2.2772829207507046,282.9920848499645
2023-03-09,Zone 4,87.30761129205877,5.280952853519755e-06,1.9630122184753418,283.6986833052202
2023-03-10,Zone 4,88.69434217973189,1.6148583943669852e-05,2.449328449639407,284.40022693980825
2023-03-11,Zone 4,85.87550908868963,2.9958268896734808e-06,1.9139111963185398,284.6471058238636
2023-03-12,Zone 4,88.85911906849255,3.333761531559338e-06,1.5551889105276628,284.1922968084162
2023-03-13,Zone 4,89.72300650856711,4.321197560453914e-05,2.753707831556147,284.326811356978
2023-03-14,Zone 4,84.66936527598988,3.9617341144548845e-05,2.6118306029926646,283.9522053111683
2023-03-15,Zone 4,87.43000654740767,3.543838399557651e-05,2.1696573279120703,284.4468564120206
2023-03-16,Zone 4,86.63664210926403,7.435298688175283e-06,2.676392501050776,285.57010165127843
2023-03-17,Zone 4,78.58060177889737,8.746863686197189e-06,4.19145772673867,284.0449121648615
2023-03-18,Zone 4,77.71741520274769,5.9458679805340417e-05,3.6886290962045845,282.89721263538706
2023-03-19,Zone 4,81.19663134488192,0.0001090798951653679,2.5994167652997104,282.92000926624644
2023-03-20,Zone 4,85.63775704123758,9.886826731789452e-05,2.1234611489556054,283.63895763050425
2023-03-21,Zone 4,91.32351199063388,9.5958730856761e-05,3.6312767917459663,283.7224717573686
2023-03-22,Zone 4,91.1709098815918,0.00012417399160436946,3.404789523644881,283.2413884943182
2023-03-23,Zone 4,79.93530030684038,1.4541662308560758e-05,2.5382786122235386,283.15776616876775
2023-03-24,Zone 4,82.40455350008878,4.5886354200774804e-05,3.6879215132106435,283.09681701660156
2023-03-25,Zone 4,77.79720653187145,0.0,3.6781880313699897,283.22054776278407
2023-03-26,Zone 4,80.91796770962802,0.0,2.2496754472905938,283.7680553089489
2023-03-27,Zone 4,82.84387276389383,0.0,2.4146886413747612,284.4611511230469
2023-03-28,Zone 4,89.66055887395686,2.7700856125275923e-05,2.6407670324498955,284.8550206964666
2023-03-29,Zone 4,87.17937365445223,3.820929024103944e-05,2.917562950741161,285.47136480158025
2023-03-30,Zone 4,88.52046585083008,3.4986567661896764e-05,2.9672230698845605,286.22723388671875
2023-03-31,Zone 4,89.22167136452414,7.541749114765976e-05,1.9650494673035361,285.95365767045456
2023-04-01,Zone 4,87.2888842496005,8.395289098023733e-05,1.4841389601880854,285.5967157537287
2023-04-02,Zone 4,83.88789332996716,9.209444066403772e-05,3.3922937349839644,284.5794566761364
2023-04-03,Zone 4,67.21432269703259,9.935958339404102e-06,4.970814065499739,282.8323863636364
